# Swift-BAT daily average light curve for GX 3+1                        
# Generated Sun Jul 15 08:50:44 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53475       0.00170951     0.00085694   2005         105     0.00069500     0.00005983      0   10296.00000000  8983.09375000   344.00000000
      53479      -0.00075126     0.00263223   2005         109     0.00213992    -0.00002629      0    3864.00000000  1611.09375000  1496.00000000
      53480       0.00349225     0.00148016   2005         110     0.00119927     0.00012223      0    7432.00000000  3518.34959412   584.00000000
      53481       0.00755366     0.00535148   2005         111     0.00434548     0.00026438      0     192.00000000   195.00000000   192.00000000
      53483       0.00298449     0.00401633   2005         113     0.00326420     0.00010446      0    1472.00000000   672.75000000     0.00000000
      53491       0.00269633     0.00181703   2005         121     0.00147527     0.00009437      0    2184.00000000  2131.87500000     0.00000000
      53493       0.00643702     0.00222813   2005         123     0.00180220     0.00022530      0    1112.00000000  1129.37500000  1112.00000000
      53496       0.00230513     0.00113435   2005         126     0.00091990     0.00008068      0    6264.00000000  5334.18750000     0.00000000
      53497       0.00462655     0.00344665   2005         127     0.00279906     0.00016193      0     440.00000000   446.87500000   440.00000000
      53498       0.00335416     0.00254837   2005         128     0.00206965     0.00011740      0     960.00000000   990.00000000   960.00000000
      53500       0.00521789     0.00257025   2005         130     0.00208435     0.00018263      0    1016.00000000   998.12500000   856.00000000
      53502       0.00462900     0.00130310   2005         132     0.00105121     0.00016201      0    4680.00000000  3729.37500000     0.00000000
      53503       0.00544580     0.00107241   2005         133     0.00085800     0.00019060      0    7896.00000000  6230.43750000     0.00000000
      53504       0.00600257     0.00183016   2005         134     0.00147810     0.00021009      0    1712.00000000  1685.25000000     0.00000000
      53505      -0.00544255     0.00482091   2005         135     0.00391638    -0.00019049      0     320.00000000   325.00000000   320.00000000
      53506       0.00344006     0.00237072   2005         136     0.00192493     0.00012040      0    1120.00000000  1093.75000000  1120.00000000
      53509      -0.00197074     0.00535348   2005         139     0.00435206    -0.00006898      0     464.00000000   271.87500000   464.00000000
      53511       0.00107069     0.00141156   2005         141     0.00114721     0.00003747      0    2720.00000000  2676.25000000   880.00000000
      53512       0.00169205     0.00140283   2005         142     0.00113949     0.00005922      0    2936.00000000  2821.31250000   712.00000000
      53525       0.00872701     0.00187857   2005         155     0.00150697     0.00030545      0    1944.00000000  1640.25000000  1944.00000000
      53526       0.00485625     0.00219796   2005         156     0.00178161     0.00016997      0    1312.00000000  1086.50000000  1312.00000000
      53527       0.00007900     0.00192672   2005         157     0.00156644     0.00000277      0    1792.00000000  1456.00000000     0.00000000
      53536      -0.00597858     0.00707822   2005         166     0.00575214    -0.00020925      0     192.00000000    83.50000000     0.00000000
      53538       0.00242565     0.00237341   2005         168     0.00192837     0.00008490      0     912.00000000   833.62500000   912.00000000
      53540       0.00422678     0.00206459   2005         170     0.00167422     0.00014794      0    1944.00000000  1458.00000000  1944.00000000
      53541       0.00137807     0.00348108   2005         171     0.00282987     0.00004823      0    1032.00000000   943.31250000  1032.00000000
      53544       0.00459110     0.00358512   2005         174     0.00291180     0.00016069      0     536.00000000   453.31250000   536.00000000
      53545      -0.00212592     0.00453867   2005         175     0.00368948    -0.00007441      0     480.00000000   386.25000000     0.00000000
      53550       0.00408516     0.00095187   2005         180     0.00076509     0.00014298      0    8768.00000000  6730.12500000  1976.00000000
      53557       0.00586180     0.00209274   2005         187     0.00169322     0.00020516      0    2752.00000000  1723.50000000     0.00000000
      53558       0.00039700     0.00136892   2005         188     0.00111288     0.00001389      0    2624.00000000  2600.87500000     0.00000000
      53559       0.00478727     0.00106953   2005         189     0.00085880     0.00016755      0    9056.00000000  5373.00000000  1984.00000000
      53560       0.01889008     0.01068036   2005         190     0.00866657     0.00066115      0      64.00000000    39.00000000     0.00000000
      53561       0.00295560     0.00200760   2005         191     0.00163003     0.00010345      0    2936.00000000  1812.06250000  2040.00000000
      53562       0.00444871     0.00225535   2005         192     0.00182924     0.00015570      0    3008.00000000  1880.00000000  2128.00000000
      53564       0.00751945     0.00238261   2005         194     0.00192522     0.00026318      0    1216.00000000  1235.00000000     0.00000000
      53567      -0.01835345     0.00764828   2005         197     0.00619615    -0.00064237      0     256.00000000   104.00000000   256.00000000
      53572       0.00255789     0.00072632   2005         202     0.00058600     0.00008953      0   13256.00000000 11821.00000000     0.00000000
      53573       0.00264385     0.00069254   2005         203     0.00055799     0.00009253      0   19024.00000000 16929.89061880     0.00000000
      53574       0.00306609     0.00113857   2005         204     0.00092155     0.00010731      0    9496.00000000  5345.21875000     0.00000000
      53575       0.00267647     0.00100458   2005         205     0.00081317     0.00009368      0   11032.00000000  7896.87500000     0.00000000
      53576       0.00284675     0.00070802   2005         206     0.00056990     0.00009964      0   29352.00000000 20627.57804203     0.00000000
      53577       0.00375951     0.00084968   2005         207     0.00068246     0.00013158      0   14896.00000000 10469.58597517     0.00000000
      53578       0.00518335     0.00195851   2005         208     0.00158544     0.00018142      0    2256.00000000  1586.25000000  2256.00000000
      53579       0.00236069     0.00197349   2005         209     0.00160306     0.00008262      0    1904.00000000  1339.25000000     0.00000000
      53580       0.00157755     0.00061594   2005         210     0.00049875     0.00005521      0   26480.00000000 18618.75000000 10960.00000000
      53581       0.00259612     0.00084107   2005         211     0.00067979     0.00009086      0   16400.00000000 11510.46094036 14256.00000000
      53582       0.00453563     0.00224002   2005         212     0.00181658     0.00015875      0    1488.00000000  1048.25000000     0.00000000
      53583       0.00341509     0.00129278   2005         213     0.00104654     0.00011953      0    6384.00000000  4141.31250000  3968.00000000
      53584       0.01459332     0.00376434   2005         214     0.00303214     0.00051077      0     328.00000000   333.12500000     0.00000000
      53587       0.00354210     0.00190612   2005         217     0.00154641     0.00012397      0    1528.00000000  1448.75000000     0.00000000
      53594       0.00007525     0.01107822   2005         224     0.00900668     0.00000263      3     616.00000000    96.25000000   616.00000000
      53595       0.00343549     0.00107811   2005         225     0.00087105     0.00012024      0    5680.00000000  5383.83198547  2136.00000000
      53597       0.00031456     0.00188972   2005         227     0.00153633     0.00001101      0    7608.00000000  3339.56250000   256.00000000
      53598       0.00022175     0.00231158   2005         228     0.00187933     0.00000776      0    7832.00000000  3212.34375000     0.00000000
      53599       0.00547626     0.00187666   2005         229     0.00151776     0.00019167      0    7512.00000000  2894.31250000  7512.00000000
      53600       0.00518425     0.00080557   2005         230     0.00063810     0.00018145      0   14336.00000000 11583.25000000    64.00000000
      53602       0.00633650     0.00642440   2005         232     0.00521997     0.00022178      0     128.00000000   129.00000000   128.00000000
      53603       0.00286629     0.00164976   2005         233     0.00133879     0.00010032      0    1656.00000000  1681.87500000  1656.00000000
      53604       0.00010084     0.00276714   2005         234     0.00224970     0.00000353      0    1304.00000000   896.50000000     0.00000000
      53605       0.00354939     0.00119529   2005         235     0.00096652     0.00012423      0   17056.00000000  5906.12500000  7760.00000000
      53608      -0.00382343     0.00721543   2005         238     0.00586520    -0.00013382      0     784.00000000   181.56250000     0.00000000
      53609       0.00440620     0.00133144   2005         239     0.00107519     0.00015422      0    9168.00000000  4911.68750000  6264.00000000
      53610       0.00289627     0.00106793   2005         240     0.00086432     0.00010137      0    5016.00000000  4744.68750000     0.00000000
      53611       0.00367748     0.00091809   2005         241     0.00073904     0.00012871      0    8832.00000000  8160.06250000   192.00000000
      53612       0.00222135     0.00075114   2005         242     0.00060740     0.00007775      0   21784.00000000 15977.84672213     0.00000000
      53613       0.00628224     0.00128738   2005         243     0.00103127     0.00021988      0   10784.00000000  4601.09086204  2608.00000000
      53614       0.00699091     0.00173025   2005         244     0.00139257     0.00024468      0    4376.00000000  3106.95312500     0.00000000
      53615       0.00370503     0.00168106   2005         245     0.00136264     0.00012968      0    3160.00000000  2381.34375000   384.00000000
      53616      -0.00175172     0.00564110   2005         246     0.00458599    -0.00006131      0    1096.00000000   260.68750000     0.00000000
      53618       0.00168754     0.00164683   2005         248     0.00133803     0.00005906      0    3584.00000000  2394.03125000     0.00000000
      53620       0.00528361     0.00093397   2005         250     0.00074429     0.00018493      0   11864.00000000  8360.43750000  8488.00000000
      53621       0.00526872     0.00564840   2005         251     0.00458975     0.00018441      0     776.00000000   235.15625000     0.00000000
      53622       0.00684675     0.00188379   2005         252     0.00151909     0.00023964      0    2488.00000000  1535.56250000     0.00000000
      53623       0.00370131     0.00153066   2005         253     0.00123998     0.00012955      0    3848.00000000  2761.50000000     0.00000000
